name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Virtual Private Server,attack-pattern--39cc9f64-cf74-4a48-a4d8-fe98c54a02e0,T1584.003,https://attack.mitre.org/techniques/T1584/003,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
AutoHotKey & AutoIT,attack-pattern--3a32740a-11b0-4bcf-b0a9-3abd0f6d3cd5,T1059.010,https://attack.mitre.org/techniques/T1059/010,VMR,execution,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Reduce Key Space,attack-pattern--3a40f208-a9c1-4efa-a598-4003c3681fb8,T1600.001,https://attack.mitre.org/techniques/T1600/001,VMR,defense-evasion,Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
Clear Command History,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,T1070.003,https://attack.mitre.org/techniques/T1070/003,VMR,defense-evasion,ESXi;Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Indirect Command Execution,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e,T1202,https://attack.mitre.org/techniques/T1202,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Data from Local System,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,T1005,https://attack.mitre.org/techniques/T1005,VMR,collection,ESXi;Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Deobfuscate/Decode Files or Information,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,T1140,https://attack.mitre.org/techniques/T1140,VMR,defense-evasion,ESXi;Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Outlook Rules,attack-pattern--3d1b9d7e-3921-4d25-845a-7d9f15c0da44,T1137.005,https://attack.mitre.org/techniques/T1137/005,VMR,persistence,Windows;Office Suite,,R8_DEFAULT_VMR,no explicit rule fired,,True
Cloud Accounts,attack-pattern--3d52e51e-f6db-4719-813c-48002a99f43a,T1586.003,https://attack.mitre.org/techniques/T1586/003,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Email Accounts,attack-pattern--3dc8c101-d4db-4f4d-8150-1b5a76ca5f1b,T1586.002,https://attack.mitre.org/techniques/T1586/002,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Additional Local or Domain Groups,attack-pattern--3e6831b2-bf4c-4ae6-b328-2e7c6633b291,T1098.007,https://attack.mitre.org/techniques/T1098/007,VMR,persistence;privilege-escalation,Windows;macOS;Linux,,R8_DEFAULT_VMR,no explicit rule fired,,True
Upload Malware,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e,T1608.001,https://attack.mitre.org/techniques/T1608/001,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Steal or Forge Kerberos Tickets,attack-pattern--3fc01293-ef5e-41c6-86ce-61f10706b64a,T1558,https://attack.mitre.org/techniques/T1558,VMR,credential-access,Windows;Linux;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
