is_name,is_id,software_count
Evilnum,intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,3
Cleaver,intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,4
TEMP.Veles,intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4,2
DarkHydrus,intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01,3
Whitefly,intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e,1
Silent Librarian,intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384,0
APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,5
Carbanak,intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,4
Orangeworm,intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,8
Deep Panda,intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,7
APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,1
The White Company,intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4,2
Poseidon Group,intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,0
LazyScripter,intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,7
Gallmaker,intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,0
MoustachedBouncer,intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28,3
CopyKittens,intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,4
Star Blizzard,intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,1
Thrip,intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,3
PROMETHIUM,intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c,2
GCMAN,intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,0
Ferocious Kitten,intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,2
PittyTiger,intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,5
APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,1
Water Galura,intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,2
BlackOasis,intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,0
IndigoZebra,intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,3
SilverTerrier,intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,5
Strider,intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,1
AppleJeus,intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,0
Scarlet Mimic,intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,4
TA578,intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,3
APT16,intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,1
Moafee,intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,1
NEODYMIUM,intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653,1
DragonOK,intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a,2
APT-C-23,intrusion-set--8332952e-b86b-486b-acc3-1c2a85d39394,1
