campaign_name,campaign_id,inferred_os,signal_sources,signal_count,confidence,has_campaign_specific,has_generic_only,narrowing_score,technique_platforms,software_platforms,tactic_implied,description_mined
Juicy Mix,campaign--7ab2f1a1-26af-4204-ad84-d640fde391da,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
KV Botnet Activity,campaign--0c259854-4044-4f6c-ac49-118d484b3e3b,ESXi;Linux;Windows;macOS,technique_platforms,1,low,False,True,0.0,ESXi;Linux;Windows;macOS,,,
Leviathan Australian Intrusions,campaign--b66bc597-399c-4e4d-828a-1ed4a7f1fb15,ESXi;Linux;Windows;macOS,tactic_implied;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,,Windows,
Night Dragon,campaign--ae407e32-87e0-4d92-8705-3ae25d504d8a,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
Operation CuckooBees,campaign--93c23946-49af-41f4-ac03-40f9ffc7419b,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
Operation Dream Job,campaign--0257b35b-93ef-4a70-80dd-ad5258e6045b,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
Operation Dust Storm,campaign--4603cf2f-06d0-4970-9c5d-5071b08c817f,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.5,ESXi;Linux;Windows;macOS,Windows;macOS,,
Operation Ghost,campaign--7854c1a0-f06c-4876-98a4-4bbd34751b05,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Operation Honeybee,campaign--4553292d-12c6-4a93-934d-12160370d4e0,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Operation MidnightEclipse,campaign--455b011a-2510-49ab-a96f-2f84d6a80189,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.5,ESXi;Linux;Windows;macOS,Linux,Windows,
Operation Sharpshooter,campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Operation Spalax,campaign--4c840263-bbda-440d-a22b-674679ddebf1,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Operation Wocao,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
Outer Space,campaign--a1f5df89-ec82-45ef-b229-4ca6a407dc4f,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Pikabot Distribution February 2024,campaign--81e89fb4-8d07-4d8a-82f4-bf084f9d5d53,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
Quad7 Activity,campaign--e7511089-1076-4a3b-984d-1a0a8afe31e9,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
RedDelta Modified PlugX Infection Chain Operations,campaign--276671b5-5425-48db-ad65-c8c2564a969b,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
RedPenguin,campaign--35879bf3-0a21-4cc1-9e42-6de917a22501,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.5,ESXi;Linux;Windows;macOS,Linux,Windows,
SPACEHOP Activity,campaign--83e1f587-34da-44cc-b65b-a72479cb1616,ESXi;Linux;Windows;macOS,technique_platforms,1,low,False,True,0.0,ESXi;Linux;Windows;macOS,,,
Salesforce Data Exfiltration,campaign--9cea8bec-07c5-422b-84b8-99d3128ce570,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,,
ShadowRay,campaign--57899965-b171-48ed-bbb4-8faffa3d836a,ESXi;Linux;Windows;macOS,tactic_implied;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,,Windows,
SharePoint ToolShell Exploitation,campaign--1a0576df-df21-4775-843e-844d8a58a94b,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
SolarWinds Compromise,campaign--808d6b30-df4e-4341-8248-724da4bac650,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.25,ESXi;Linux;Windows;macOS,Linux;Windows;macOS,Windows,
Triton Safety Instrumented System Attack,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,ESXi;Linux;Windows;macOS,software_platforms;tactic_implied;technique_platforms,3,high,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,Windows,
Versa Director Zero Day Exploitation,campaign--af0ec65a-caa9-40ef-b1c7-21b71fbf3a10,ESXi;Linux;Windows;macOS,tactic_implied;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,,Windows,
Water Curupira Pikabot Distribution,campaign--57541e3b-657e-463a-a4ab-ca08d7ea9965,ESXi;Linux;Windows;macOS,software_platforms;technique_platforms,2,medium,True,False,0.75,ESXi;Linux;Windows;macOS,Windows,,
