intrusion_set_id,feature_count,nearest_neighbor_id,nearest_distance,confused
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,40,intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,0.6389,False
intrusion-set--5f3d0238-d058-44a9-8812-3dd1b6741a8c,7,intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,0.7143,False
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,29,intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,0.7576,False
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,15,intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,0.7895,False
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,109,intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,0.6892,False
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,50,intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,0.7439,False
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,31,intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,0.7778,False
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,6,intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,0.6667,False
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,17,intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,0.7647,False
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,85,intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,0.6748,False
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,43,intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,0.7558,False
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,59,intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,0.6875,False
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,28,intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03,0.6286,False
intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,25,intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,0.7463,False
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,16,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,0.6842,False
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,7,intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,0.7143,False
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,46,intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,0.6267,False
intrusion-set--7b404cd0-3ae9-41d4-90c0-023793d35d97,42,intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,0.809,False
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,40,intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,0.6538,False
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,12,intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,0.7,False
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,21,intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,0.72,False
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,12,intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,0.7742,False
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,16,intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,0.65,False
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,16,intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,0.7742,False
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,10,intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c,0.8125,False
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,29,intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,0.6667,False
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,4,intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,0.8,False
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,82,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,0.6727,False
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,25,intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,0.7385,False
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,53,intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,0.68,False
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,4,intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd,0.8182,False
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,11,intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,0.6923,False
intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,31,intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,0.6724,False
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,11,intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,0.7419,False
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,6,intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1,0.8182,False
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,36,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,0.6667,False
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,36,intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,0.6667,False
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,5,intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,0.8333,False
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,18,intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,0.7,False
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,64,intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,0.7558,False
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,19,intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,0.775,False
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,7,intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12,0.8125,False
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,22,intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,0.7333,False
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,41,intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,0.6935,False
